Series Name	Series Code	Country Name	Country Code	2014 [YR2014]
Income share held by second 20%	SI.DST.02ND.20	Afghanistan	AFG	..
Income share held by second 20%	SI.DST.02ND.20	Albania	ALB	..
Income share held by second 20%	SI.DST.02ND.20	Algeria	DZA	..
Income share held by second 20%	SI.DST.02ND.20	American Samoa	ASM	..
Income share held by second 20%	SI.DST.02ND.20	Andorra	ADO	..
Income share held by second 20%	SI.DST.02ND.20	Angola	AGO	..
Income share held by second 20%	SI.DST.02ND.20	Antigua and Barbuda	ATG	..
Income share held by second 20%	SI.DST.02ND.20	Argentina	ARG	..
Income share held by second 20%	SI.DST.02ND.20	Armenia	ARM	..
Income share held by second 20%	SI.DST.02ND.20	Aruba	ABW	..
Income share held by second 20%	SI.DST.02ND.20	Australia	AUS	..
Income share held by second 20%	SI.DST.02ND.20	Austria	AUT	..
Income share held by second 20%	SI.DST.02ND.20	Azerbaijan	AZE	..
Income share held by second 20%	SI.DST.02ND.20	Bahamas, The	BHS	..
Income share held by second 20%	SI.DST.02ND.20	Bahrain	BHR	..
Income share held by second 20%	SI.DST.02ND.20	Bangladesh	BGD	..
Income share held by second 20%	SI.DST.02ND.20	Barbados	BRB	..
Income share held by second 20%	SI.DST.02ND.20	Belarus	BLR	..
Income share held by second 20%	SI.DST.02ND.20	Belgium	BEL	..
Income share held by second 20%	SI.DST.02ND.20	Belize	BLZ	..
Income share held by second 20%	SI.DST.02ND.20	Benin	BEN	..
Income share held by second 20%	SI.DST.02ND.20	Bermuda	BMU	..
Income share held by second 20%	SI.DST.02ND.20	Bhutan	BTN	..
Income share held by second 20%	SI.DST.02ND.20	Bolivia	BOL	..
Income share held by second 20%	SI.DST.02ND.20	Bosnia and Herzegovina	BIH	..
Income share held by second 20%	SI.DST.02ND.20	Botswana	BWA	..
Income share held by second 20%	SI.DST.02ND.20	Brazil	BRA	..
Income share held by second 20%	SI.DST.02ND.20	Brunei Darussalam	BRN	..
Income share held by second 20%	SI.DST.02ND.20	Bulgaria	BGR	..
Income share held by second 20%	SI.DST.02ND.20	Burkina Faso	BFA	..
Income share held by second 20%	SI.DST.02ND.20	Burundi	BDI	..
Income share held by second 20%	SI.DST.02ND.20	Cabo Verde	CPV	..
Income share held by second 20%	SI.DST.02ND.20	Cambodia	KHM	..
Income share held by second 20%	SI.DST.02ND.20	Cameroon	CMR	..
Income share held by second 20%	SI.DST.02ND.20	Canada	CAN	..
Income share held by second 20%	SI.DST.02ND.20	Cayman Islands	CYM	..
Income share held by second 20%	SI.DST.02ND.20	Central African Republic	CAF	..
Income share held by second 20%	SI.DST.02ND.20	Chad	TCD	..
Income share held by second 20%	SI.DST.02ND.20	Channel Islands	CHI	..
Income share held by second 20%	SI.DST.02ND.20	Chile	CHL	..
Income share held by second 20%	SI.DST.02ND.20	China	CHN	..
Income share held by second 20%	SI.DST.02ND.20	Colombia	COL	..
Income share held by second 20%	SI.DST.02ND.20	Comoros	COM	..
Income share held by second 20%	SI.DST.02ND.20	Congo, Dem. Rep.	ZAR	..
Income share held by second 20%	SI.DST.02ND.20	Congo, Rep.	COG	..
Income share held by second 20%	SI.DST.02ND.20	Costa Rica	CRI	..
Income share held by second 20%	SI.DST.02ND.20	Cote d'Ivoire	CIV	..
Income share held by second 20%	SI.DST.02ND.20	Croatia	HRV	..
Income share held by second 20%	SI.DST.02ND.20	Cuba	CUB	..
Income share held by second 20%	SI.DST.02ND.20	Curacao	CUW	..
Income share held by second 20%	SI.DST.02ND.20	Cyprus	CYP	..
Income share held by second 20%	SI.DST.02ND.20	Czech Republic	CZE	..
Income share held by second 20%	SI.DST.02ND.20	Denmark	DNK	..
Income share held by second 20%	SI.DST.02ND.20	Djibouti	DJI	..
Income share held by second 20%	SI.DST.02ND.20	Dominica	DMA	..
Income share held by second 20%	SI.DST.02ND.20	Dominican Republic	DOM	..
Income share held by second 20%	SI.DST.02ND.20	Ecuador	ECU	..
Income share held by second 20%	SI.DST.02ND.20	Egypt, Arab Rep.	EGY	..
Income share held by second 20%	SI.DST.02ND.20	El Salvador	SLV	..
Income share held by second 20%	SI.DST.02ND.20	Equatorial Guinea	GNQ	..
Income share held by second 20%	SI.DST.02ND.20	Eritrea	ERI	..
Income share held by second 20%	SI.DST.02ND.20	Estonia	EST	..
Income share held by second 20%	SI.DST.02ND.20	Ethiopia	ETH	..
Income share held by second 20%	SI.DST.02ND.20	Faeroe Islands	FRO	..
Income share held by second 20%	SI.DST.02ND.20	Fiji	FJI	..
Income share held by second 20%	SI.DST.02ND.20	Finland	FIN	..
Income share held by second 20%	SI.DST.02ND.20	France	FRA	..
Income share held by second 20%	SI.DST.02ND.20	French Polynesia	PYF	..
Income share held by second 20%	SI.DST.02ND.20	Gabon	GAB	..
Income share held by second 20%	SI.DST.02ND.20	Gambia, The	GMB	..
Income share held by second 20%	SI.DST.02ND.20	Georgia	GEO	..
Income share held by second 20%	SI.DST.02ND.20	Germany	DEU	..
Income share held by second 20%	SI.DST.02ND.20	Ghana	GHA	..
Income share held by second 20%	SI.DST.02ND.20	Greece	GRC	..
Income share held by second 20%	SI.DST.02ND.20	Greenland	GRL	..
Income share held by second 20%	SI.DST.02ND.20	Grenada	GRD	..
Income share held by second 20%	SI.DST.02ND.20	Guam	GUM	..
Income share held by second 20%	SI.DST.02ND.20	Guatemala	GTM	..
Income share held by second 20%	SI.DST.02ND.20	Guinea	GIN	..
Income share held by second 20%	SI.DST.02ND.20	Guinea-Bissau	GNB	..
Income share held by second 20%	SI.DST.02ND.20	Guyana	GUY	..
Income share held by second 20%	SI.DST.02ND.20	Haiti	HTI	..
Income share held by second 20%	SI.DST.02ND.20	Honduras	HND	..
Income share held by second 20%	SI.DST.02ND.20	Hong Kong SAR, China	HKG	..
Income share held by second 20%	SI.DST.02ND.20	Hungary	HUN	..
Income share held by second 20%	SI.DST.02ND.20	Iceland	ISL	..
Income share held by second 20%	SI.DST.02ND.20	India	IND	..
Income share held by second 20%	SI.DST.02ND.20	Indonesia	IDN	..
Income share held by second 20%	SI.DST.02ND.20	Iran, Islamic Rep.	IRN	..
Income share held by second 20%	SI.DST.02ND.20	Iraq	IRQ	..
Income share held by second 20%	SI.DST.02ND.20	Ireland	IRL	..
Income share held by second 20%	SI.DST.02ND.20	Isle of Man	IMY	..
Income share held by second 20%	SI.DST.02ND.20	Israel	ISR	..
Income share held by second 20%	SI.DST.02ND.20	Italy	ITA	..
Income share held by second 20%	SI.DST.02ND.20	Jamaica	JAM	..
Income share held by second 20%	SI.DST.02ND.20	Japan	JPN	..
Income share held by second 20%	SI.DST.02ND.20	Jordan	JOR	..
Income share held by second 20%	SI.DST.02ND.20	Kazakhstan	KAZ	..
Income share held by second 20%	SI.DST.02ND.20	Kenya	KEN	..
Income share held by second 20%	SI.DST.02ND.20	Kiribati	KIR	..
Income share held by second 20%	SI.DST.02ND.20	Korea, Dem. Rep.	PRK	..
Income share held by second 20%	SI.DST.02ND.20	Korea, Rep.	KOR	..
Income share held by second 20%	SI.DST.02ND.20	Kosovo	KSV	..
Income share held by second 20%	SI.DST.02ND.20	Kuwait	KWT	..
Income share held by second 20%	SI.DST.02ND.20	Kyrgyz Republic	KGZ	..
Income share held by second 20%	SI.DST.02ND.20	Lao PDR	LAO	..
Income share held by second 20%	SI.DST.02ND.20	Latvia	LVA	..
Income share held by second 20%	SI.DST.02ND.20	Lebanon	LBN	..
Income share held by second 20%	SI.DST.02ND.20	Lesotho	LSO	..
Income share held by second 20%	SI.DST.02ND.20	Liberia	LBR	..
Income share held by second 20%	SI.DST.02ND.20	Libya	LBY	..
Income share held by second 20%	SI.DST.02ND.20	Liechtenstein	LIE	..
Income share held by second 20%	SI.DST.02ND.20	Lithuania	LTU	..
Income share held by second 20%	SI.DST.02ND.20	Luxembourg	LUX	..
Income share held by second 20%	SI.DST.02ND.20	Macao SAR, China	MAC	..
Income share held by second 20%	SI.DST.02ND.20	Macedonia, FYR	MKD	..
Income share held by second 20%	SI.DST.02ND.20	Madagascar	MDG	..
Income share held by second 20%	SI.DST.02ND.20	Malawi	MWI	..
